"","price","grape","siegel","information"
"1","1","1","1","1"
"2","2","1","1","1"
"3","3","1","1","1"
"4","1","2","1","1"
"5","2","2","1","1"
"6","3","2","1","1"
"7","1","3","1","1"
"8","2","3","1","1"
"9","3","3","1","1"
"10","1","1","2","1"
"11","2","1","2","1"
"12","3","1","2","1"
"13","1","2","2","1"
"14","2","2","2","1"
"15","3","2","2","1"
"16","1","3","2","1"
"17","2","3","2","1"
"18","3","3","2","1"
"19","1","1","1","2"
"20","2","1","1","2"
"21","3","1","1","2"
"22","1","2","1","2"
"23","2","2","1","2"
"24","3","2","1","2"
"25","1","3","1","2"
"26","2","3","1","2"
"27","3","3","1","2"
"28","1","1","2","2"
"29","2","1","2","2"
"30","3","1","2","2"
"31","1","2","2","2"
"32","2","2","2","2"
"33","3","2","2","2"
"34","1","3","2","2"
"35","2","3","2","2"
"36","3","3","2","2"
"37","1","1","1","3"
"38","2","1","1","3"
"39","3","1","1","3"
"40","1","2","1","3"
"41","2","2","1","3"
"42","3","2","1","3"
"43","1","3","1","3"
"44","2","3","1","3"
"45","3","3","1","3"
"46","1","1","2","3"
"47","2","1","2","3"
"48","3","1","2","3"
"49","1","2","2","3"
"50","2","2","2","3"
"51","3","2","2","3"
"52","1","3","2","3"
"53","2","3","2","3"
"54","3","3","2","3"
